0,25,50,75,100,125,150,175
2916.9,2976.6,3160.4,3483.2,3972.3,4673.3,5659.9,7051.3
816.94,836.97,899.58,1013,1193.5,1470.9,1892.7,2542.5
2100,2139.6,2260.8,2470.2,2778.8,3202.4,3767.3,4508.9
15.172,15.119,14.955,14.673,14.258,13.687,12.983,12.164
2.5706,2.5564,2.5132,2.4385,2.3283,2.1772,1.9904,1.7734
0:Inaccurate/Solved
25:Solved
50:Solved
75:Solved
100:Solved
125:Solved
150:Solved
175:Solved

0,1,2,3,4,5,6,7
0,1,2,3,4,5,7,8
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,8
0,1,2,3,4,5,6,8
0,1,2,3,4,5,6,8
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7
0,1,2,3,4,5,5,6
0,1,2,3,4,5,6,6
0,1,2,3,4,5,6,6
0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,6
