0,25,50,75,100,125,150,175,200,225,250
2916.9,3769.3,4651.3,5576.4,6551.6,7609.6,8783.9,10159,12064,15189,23677
816.94,1089.3,1391.3,1736.4,2131.6,2609.6,3203.9,3999.3,5323.5,7869.2,15777
2100,2680,3260,3840,4420,5000,5580,6160,6740,7320,7900
15.172,14.756,14.313,13.817,13.296,12.702,12.044,11.284,10.249,8.9819,7.3613
2.5706,2.4602,2.3431,2.2115,2.0736,1.916,1.7416,1.5403,1.2661,0.93021,0.50074
0:Inaccurate/Solved
25:Solved
50:Solved
75:Solved
100:Solved
125:Solved
150:Solved
175:Solved
200:Solved
225:Solved
250:Solved

0,0,0,0,10,10,10,10,10,10,10
0,10,10,10,10,10,10,10,10,10,10
0,0,0,10,10,10,10,10,10,10,10
0,0,0,0,0,10,10,10,10,10,10
0,0,0,0,0,10,10,10,10,10,10
0,0,0,5,10,10,10,10,10,10,10
0,0,0,0,10,10,10,10,10,10,10
0,0,0,0,0,5,10,10,10,10,10
0,0,0,0,0,0,10,10,10,10,10
0,0,0,0,0,0,10,10,10,10,10
0,0,0,10,10,10,10,10,10,10,10
0,0,10,10,10,10,10,10,10,10,10
0,0,10,10,10,10,10,10,10,10,10
0,10,10,10,10,10,10,10,10,10,10
0,5,10,10,10,10,10,10,10,10,10
0,0,0,0,0,0,0,0,10,10,10
0,0,0,0,0,0,0,0,10,10,10
0,0,0,0,0,0,0,5,10,10,10
0,0,0,0,0,0,0,10,10,10,10
0,0,0,0,0,0,0,10,10,10,10
0,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,5,10
0,0,0,0,0,0,0,0,0,10,10
0,0,0,0,0,0,0,0,0,10,10
0,0,0,0,0,0,0,0,0,0,10
